gn:id,wof:id
3447845,101953001
3464310,101953003
3449333,101953005
3451812,101953007
504196,102002001
547057,102002003
559824,102002005
559824,102002009
467525,102002011
3819035,102000009
526600,102002015
474470,102002017
495983,102002019
580182,102002021
545626,102002023
3514566,102000011
536234,102002025
562322,102003001
463144,102002027
471803,102003005
3530088,102001001
487357,102002035
535703,102004001
564679,102005003
496269,102004003
500886,102005005
495532,102004005
467977,102005007
543436,102004007
542850,102005009
479000,102004013
539528,102004015
474360,102005013
514246,102004017
576219,102005015
546926,102004019
506591,102005017
522298,102004021
539458,102005021
511952,102004023
532035,102004025
488093,102005025
512468,102005031
526968,102005033
514792,102006001
511313,102005035
546092,102005039
517772,102006005
474921,102005041
575946,102006007
561879,102005043
543170,102006013
475497,102005045
544576,102006015
474652,102005049
549999,102005051
694491,102005053
480949,102006019
570188,102007001
493709,102002037
487019,102005057
582082,102006021
572261,102007005
563379,102002039
565857,102005061
508114,102006025
481053,102007009
496246,102005063
558443,102007013
473362,102005065
578155,102007015
518488,102006029
483541,102005067
553522,102008001
577634,102007019
570858,102005069
578914,102007023
557897,102005071
536141,102008005
535254,102007025
554813,102005075
486725,102008009
499782,102005077
540284,102007029
470267,102005079
493702,102008011
513853,102005081
481604,102008013
577262,102005083
518682,102008015
491065,102005085
477438,102009001
561392,102005087
469168,102009005
566015,102005089
579596,102005093
498698,102010001
521665,102005097
544203,102010003
584397,102010011
518619,102010013
583781,102010015
526975,102011001
544203,102010017
513558,102011003
486491,102011005
566199,102010019
524489,102010025
1508081,102012001
552133,102010029
1491781,102012005
541133,102010033
1494308,102012007
489394,102010035
1486960,102012009
574258,102010037
1496186,102012011
1509368,102012013
478796,102010043
1493343,102012015
486825,102010045
1492132,102012017
498698,102010047
1488465,102012019
519611,102010049
1494594,102012023
510039,102011007
527237,102010051
1492342,102012025
534864,102011009
517766,102010055
1502935,102012027
491107,102011011
489224,102010057
1512210,102012029
504250,102011015
574163,102010061
1510350,102013001
1504212,102012031
499977,102011017
556111,102010063
1490133,102013003
1494943,102012033
581652,102010065
507569,102011019
1507798,102013005
1497049,102012035
519800,102010067
1510383,102013007
1507565,102012037
579492,102011021
552881,102010069
1492532,102012041
1496863,102013009
469751,102011023
536471,102010071
1511086,102012043
503113,102011025
474914,102010073
467070,102010075
1497457,102012049
541340,102011029
519633,102010079
1493889,102012053
542133,102011033
520412,102010081
1502022,102012055
553271,102010083
2015580,102014003
1488258,102012059
576912,102011037
528278,102010085
1486744,102012061
508678,102011039
578120,102010089
1495199,102012063
531514,102011041
496381,102010091
1496359,102012065
544830,102011043
499399,102010093
2016443,102015001
528332,102011045
575560,102003009
522803,102003011
516762,102003013
505824,102003015
537107,102003023
496035,102003025
568007,102003029
462182,102011047
548081,102005099
519501,102011051
534595,102003031
487363,102005101
512749,102005103
511416,102011055
513554,102005105
486397,102011057
509820,102002041
550151,102011059
471639,102011061
490466,102002043
575075,102011063
538653,102002045
516647,102002047
574029,102004027
497270,102004031
